ep.id	x.pos	y.pos	treat.code	substrate	rep	substrate	sub.substrate
1	A	1	A1	water	1	control	
2	A	2	A2	b.methyl.d.glucoside	1	sugar	monosaccharide
3	A	3	A3	d.galactonic.acid.g.lactone	1	sugar	monosaccharide
4	A	4	A4	l.arginine	1	amino.acid	
5	A	5	A1	water	2	control	
6	A	6	A2	b.methyl.d.glucoside	2	sugar	
7	A	7	A3	d.galactonic.acid.l.lactone	2	sugar	
8	A	8	A4	l.arginine	2	amino.acid	
9	A	9	A1	water	3	control	
10	A	10	A2	b.methyl.d.glucoside	3	sugar	
11	A	11	A3	d.galactonic.acid.l.lactone	3	sugar	
12	A	12	A4	l.arginine	3	amino.acid	
13	B	1	B1	pyruvic.acid.methyl.ester	1	alpha.keto.acid	
14	B	2	B2	d.xylose	1	sugar	monosaccharide
15	B	3	B3	d.galacturonic.acid	1	carboxylic.acid	
16	B	4	B4	l.asparagine	1	amino.acid	
17	B	5	B1	pyruvic.acid.methyl.ester	2	alpha.keto.acid	
18	B	6	B2	d.xylose	2	sugar	
19	B	7	B3	d.galacturonic.acid	2	carboxylic.acid	
20	B	8	B4	l.asparagine	2	amino.acid	
21	B	9	B1	pyruvic.acid.methyl.ester	3	alpha.keto.acid	
22	B	10	B2	d.xylose	3	sugar	
23	B	11	B3	d.galacturonic.acid	3	carboxylic.acid	
24	B	12	B4	l.asparagine	3	amino.acid	
25	C	1	C1	tween.40	1	polysorbate	
26	C	2	C2	i.erythritol	1	polyol	
27	C	3	C3	2.hydroxyl.benzoic.acid	1	phenolic.acid	
28	C	4	C4	l.phenylalanine	1	amino.acid	
29	C	5	C5	tween.40	2	polysorbate	
30	C	6	C6	i.erythritol	2	polyol	
31	C	7	C7	2.hydroxyl.benzoic.acid	2	phenolic.acid	
32	C	8	C8	l.phenylalanine	2	amino.acid	
33	C	9	C9	tween.40	3	polysorbate	
34	C	10	C10	i.erythritol	3	polyol	
35	C	11	C11	2.hydroxyl.benzoic.acid	3	phenolic.acid	
36	C	12	C12	l.phenylalanine	3	amino.acid	
37	D	1	D1	tween.80	1	polysorbate	
38	D	2	D2	d.mannitol	1	polyol	
39	D	3	D3	4.hydroxy.benzoic.acid	1	phenolic.acid	
40	D	4	D4	l.serine	1	amino.acid	
41	D	5	D5	tween.80	2	polysorbate	
42	D	6	D6	d.mannitol	2	polyol	
43	D	7	D7	4.hydroxy.benzoic.acid	2	phenolic.acid	
44	D	8	D8	l.serine	2	amino.acid	
45	D	9	D9	tween.80	3	polysorbate	
46	D	10	D10	d.mannitol	3	polyol	
47	D	11	D11	4.hydroxy.benzoic.acid	3	phenolic.acid	
48	D	12	D12	l.serine	3	amino.acid	
49	E	1	E1	a.cyclodextrin	1	oligosaccharide	cyclic
50	E	2	E2	n.acetyl.d.glucosamine	1	sugar	monosaccharide
51	E	3	E3	g.hydroxybutyric.acid	1	carboxylic.acid	
52	E	4	E4	l.threonine	1	amino.acid	
53	E	5	E5	a.cyclodextrin	2	oligosaccharide	cyclic
54	E	6	E6	n.acetyl.d.glucosamine	2	sugar	monosaccharide
55	E	7	E7	g.hydroxybutyric.acid	2	carboxylic.acid	
56	E	8	E8	l.threonine	2	amino.acid	
57	E	9	E9	a.cyclodextrin	3	oligosaccharide	cyclic
58	E	10	E10	n.acetyl.d.glucosamine	3	sugar	monosaccharide
59	E	11	E11	g.hydroxybutyric.acid	3	carboxylic.acid	
60	E	12	E12	l.threonine	3	amino.acid	
61	F	1	F1	glycogen	1	polysaccharide	
62	F	2	F2	d.glucosaminic.acid	1	carboxylic.acid	
63	F	3	F3	itaconic.acid	1	dicarbonic.acid	
64	F	4	F4	glycyl.l.glutamic.acid	1	amino.acid	
65	F	5	F5	glycogen	2	polysaccharide	
66	F	6	F6	d.glucosaminic.acid	2	carboxylic.acid	
67	F	7	F7	itaconic.acid	2	dicarbonic.acid	
68	F	8	F8	glycyl.l.glutamic.acid	2	amino.acid	
69	F	9	F9	glycogen	3	polysaccharide	
70	F	10	F10	d.glucosaminic.acid	3	carboxylic.acid	
71	F	11	F11	itaconic.acid	3	dicarbonic.acid	
72	F	12	F12	glycyl.l.glutamic.acid	3	amino.acid	
73	G	1	G1	d.cellobiose	1	disaccharide	
74	G	2	G2	glucose.1.phosphate	1	sugar	monosaccharide
75	G	3	G3	a.ketobutyric.acid	1	carboxylic.acid	???
76	G	4	G4	phenylethyl.amine	1	amine	???
77	G	5	G5	d.cellobiose	2	disaccharide	
78	G	6	G6	glucose.1.phosphate	2	sugar	
79	G	7	G7	a.ketobutyric.acid	2	carboxylic.acid	
80	G	8	G8	phenylethyl.amine	2	amine	
81	G	9	G9	d.cellobiose	3	disaccharide	
82	G	10	G10	glucose.1.phosphate	3	sugar	
83	G	11	G11	a.ketobutyric.acid	3	carboxylic.acid	
84	G	12	G12	phenylethyl.amine	3	amine	
85	H	1	H1	a.d.lactose	1	disaccharide	
86	H	2	H2	d.l.a.glycerol.phosphate	1	ester	???
87	H	3	H3	d.malic.acid	1	dicarboxylic.acid	
88	H	4	H4	putrescine	1	other	?
89	H	5	H5	a.d.lactose	2	disaccharide	
90	H	6	H6	d.l.a.glycerol.phosphate	2	ester	
91	H	7	H7	d.malic.acid	2	dicarboxylic.acid	
92	H	8	H8	putrescine	2	other	
93	H	9	H9	a.d.lactose	3	disaccharide	
94	H	10	H10	d.l.a.glycerol.phosphate	3	ester	
95	H	11	H11	d.malic.acid	3	dicarboxylic.acid	
96	H	12	H12	putrescine	3	other	
